radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.169875,1.64696,1.87072,0.227779,-0.0416961,3.47405,-0.141744,-0.1144
0.0318907,1.4562,4.28004,0.0226208,-0.113658,5.73596,0.0497723,-0.121489
0.0950614,3.45212,8.87596,0.0516921,-0.131588,5.4247,0.00130559,-0.0730637
0.088524,4.3547,6.82032,-0.0173364,-0.0971882,11.1732,0.00421688,-0.222035
0.148711,1.83319,8.92016,-0.0910588,-0.0780669,10.7434,0.0982938,-0.097743
0.162098,1.27388,10.9367,0.0546132,-0.0824112,12.2096,0.00384165,-0.0891827
0.0807253,1.23078,13.6337,0.0416715,-0.235565,12.4057,-0.0365984,-0.207257
0.206957,1.60359,13.8541,0.302866,-0.360502,15.3919,-0.121017,-0.196387
0.114282,0.893289,15.6085,0.0674604,-0.348984,16.4926,-0.0565904,-0.318679
0.0698787,1.89018,18.8352,-0.034204,-0.306951,16.9468,0.0471621,-0.298117
0.0867374,1.26832,18.6202,0.0746328,-0.313015,19.883,-0.0381227,-0.278974
0.088789,1.23807,19.8258,0.0372898,-0.366086,21.0617,-0.0332102,-0.348389
0.0664129,1.56409,22.9637,0.0642884,-0.330583,21.3997,0.0460657,-0.326188
0.131169,4.0412,22.8571,0.101004,-0.47565,26.8943,-0.0631093,-0.406575
0.114825,2.35407,25.2848,0.093853,-0.406047,27.6388,0.0777516,-0.413815
0.111484,2.51132,27.0303,0.0113764,-0.382396,29.5399,0.0804551,-0.446017
0.118616,0.997296,29.138,0.0539711,-0.305202,30.1335,0.10587,-0.334704
0.102032,1.04671,31.323,0.0501773,-0.382549,30.2836,-0.0532124,-0.315795
0.222443,1.55977,33.308,0.0359614,-0.610368,31.7484,0.0596101,-0.612274
0.152149,6.72752,39.4214,0.222801,-0.334983,32.7039,-0.13932,-0.387739
0.067556,3.06858,38.8329,0.0936902,-0.382901,35.7646,0.123706,-0.408401
0.190107,9.03289,46.7952,0.0227243,-0.0891646,37.7815,0.0406149,-0.677048
0.0743189,1.6998,40.5974,0.0588988,-0.379268,42.2952,0.126498,-0.427875
0.0919077,2.84756,45.5542,0.115488,-0.38147,42.7079,0.0409496,-0.42129
0.191432,1.76276,47.3356,0.0381936,-0.392216,45.5765,0.0722709,-0.499392
0.103678,1.53532,47.4199,0.0751554,-0.31393,48.9539,0.118059,-0.361003
0.0897179,1.40168,49.3516,0.103649,-0.301684,50.7532,0.0924584,-0.286951
0.212069,7.85964,58.0825,0.315428,-0.118665,50.2328,-0.0796508,-0.11562
0.0849747,1.72702,52.5029,0.0516595,-0.247879,54.2194,0.240286,-0.228062
0.184298,3.05419,57.1747,0.0304807,-0.378775,54.1225,0.126901,-0.432141
0.497669,2.72523,60.1276,-0.434112,-0.332399,57.4656,0.0112424,-0.709835
0.0940028,1.14579,61.1403,0.11377,-0.140533,62.2854,0.136562,-0.106117
0.0992919,7.46916,70.4582,0.158299,0.112085,62.9912,0.160303,-0.0674818
0.179453,8.9359,65.5681,0.234374,0.0510161,74.4972,-0.082933,0.19625
0.0843088,2.80257,71.2273,0.133566,0.118854,68.4302,0.254631,-0.00584117
0.225443,2.11283,74.2314,0.331629,0.273352,72.1362,0.0664092,0.334344
0.0687921,2.18888,77.8268,0.214179,0.248486,75.6399,0.13616,0.197803
0.111171,1.21981,79.1456,0.0560464,0.395812,77.9571,0.244107,0.19584
0.182863,1.32824,79.4123,0.295377,0.369982,80.7272,0.18723,0.523461
