radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.920717,63.8134,50.4327,0.19046,-5.04763,114.132,0.720217,-8.83237
0.554036,44.9045,3.48535,9.12382,-0.269345,48.1524,9.18576,-4.88065
0.567315,75.2632,228.457,1.44318,-8.02478,303.522,1.64694,-2.56521
0.975429,71.0267,176.512,1.04046,-9.66952,105.495,0.467644,-8.65048
0.614125,64.794,166.433,0.90787,-9.70017,231.207,1.18407,-8.10982
0.949058,86.0415,166.143,9.86036,-9.51931,252.134,10.3705,-6.63069
0.759378,59.5951,129.338,9.40359,-9.29698,69.8344,9.57586,-5.99301
0.395388,41.7937,50.0912,0.160526,-4.99819,8.48805,0.220629,-1.01181
0.598508,30.3942,15.0426,0.653564,5.66671,45.307,0.523571,2.8633
0.949257,62.8059,240.223,1.62386,0.325063,302.832,2.17193,5.26494
0.606198,41.2666,75.1863,9.14664,-6.85138,34.0741,9.32135,-3.28862
0.748481,76.2703,43.2602,0.607877,3.1211,119.43,1.10811,-0.761092
0.896858,25.7422,158.627,9.98988,-8.86664,132.899,9.57202,-9.61336
0.846052,30.2712,261.875,10.4577,-5.63442,292.08,10.5785,-3.63558
0.535898,44.6549,165.148,1.25149,-1.50044,209.785,1.49613,-0.289559
0.691423,66.4954,165.748,9.43135,-0.555479,99.2619,9.11287,0.48548
0.973714,27.5628,206.326,1.53932,-0.680003,178.768,1.28656,-1.14999
0.413677,27.9357,265.986,10.5241,-5.71821,238.096,10.1597,-7.27179
0.19102,22.009,21.7874,0.157705,-2.32052,-0.0986309,0.0564319,0.000519753
0.576713,39.1679,204.653,1.58689,-0.62118,243.793,1.6568,0.841181
0.97913,34.1028,102.222,9.12832,0.407762,68.1619,8.96404,2.10224
0.993516,27.0979,227.285,1.14045,-8.3815,254.307,1.31958,-6.3585
0.407422,26.1666,114.58,9.63328,-8.54256,140.742,9.7241,-9.04744
0.615612,22.8948,292.696,10.663,-3.42324,315.463,10.7306,-1.00676
0.542207,18.0293,289.62,1.47664,-3.87318,271.661,1.6396,-5.45682
0.642257,34.2309,29.6081,8.67477,4.39197,63.7679,9.03543,2.21803
0.755334,20.3924,276.546,10.0993,3.3507,256.21,9.93569,1.83931
0.287181,38.2403,168.262,1.39683,-1.12104,130.024,0.980911,-0.98896
0.911252,28.9076,63.2469,9.4597,-5.96676,92.1003,9.33701,-7.73323
0.526291,34.2894,184.61,9.5798,-0.357624,218.896,9.73015,0.147625
0.871683,17.5768,190.341,1.05664,-9.5685,207.899,1.13446,-8.7515
0.277741,16.1156,19.314,-0.00765398,-2.06892,3.29313,0.237049,-0.341075
0.825567,15.9061,30.502,8.68746,4.28565,14.6821,8.81525,5.93435
0.98574,21.6722,176.806,9.70261,-9.19105,155.137,10.0005,-9.43895
0.847676,20.4341,252.609,1.3946,-6.80968,272.993,1.50119,-5.39032
0.541408,26.3608,243.875,10.2667,-6.98044,270.193,10.4329,-5.49956
0.501123,13.3856,273.397,10.0944,3.11372,286.753,10.178,4.00628
0.898376,22.6186,161.611,9.48437,-0.493122,184.229,9.54776,-0.516876
0.402176,6.46264,299.48,1.71548,-2.87168,305.915,1.59939,-2.28832
0.7071,14.6821,38.6958,0.792142,3.75286,53.3176,0.700294,2.42714
0.50598,4.8324,8.4478,0.443269,6.08739,3.65999,0.555759,6.73261
0.484201,9.82555,3.2586,8.59364,6.76171,13.0427,8.81554,5.88829
0.559874,16.6589,303.776,10.4029,5.34569,287.178,9.9782,3.98431
0.64982,21.3117,95.0146,0.471968,-7.62132,116.292,0.684114,-8.81868
0.870038,17.5537,109.199,1.08764,-0.0314271,126.718,0.909929,-1.11857
0.701165,10.4577,40.0343,0.309379,-4.00601,50.4413,0.35318,-5.03399
0.287421,5.51622,15.3393,0.325103,5.53514,9.86443,0.715475,6.08487
0.177198,26.0628,35.4483,0.237818,-3.63691,9.50884,0.0239923,-1.11309
0.226065,11.2612,31.3813,9.27326,-3.31157,20.2014,9.05371,-1.97843
0.819942,13.052,252.558,9.89533,1.6188,239.513,9.88051,1.1712
0.455183,16.7565,158.177,1.18358,-1.42731,141.431,1.08784,-0.852692
0.353003,12.5796,-0.0118308,-0.00844721,0.062224,12.4876,0.0887053,-1.35222
0.169382,10.107,23.2297,9.11754,-2.34333,13.1636,9.18016,-1.43667
0.619795,12.4529,223.764,9.74688,0.49572,236.204,9.88658,1.05428
0.214058,6.50475,299.311,10.5518,-2.90359,292.812,10.6528,-3.16641
0.386283,13.8063,206.142,10.1176,-8.87786,192.34,9.91419,-9.13214
0.661845,12.6589,149.083,9.75379,-9.24749,161.739,9.71324,-9.52251
0.947858,2.04946,36.7837,9.20197,-3.68375,34.7427,9.2584,-3.50625
0.558415,15.9277,122.998,1.01885,-0.807242,138.925,1.19478,-0.792757
0.256381,3.78191,-0.517495,0.334792,6.99657,3.24941,0.577428,6.76343
0.771391,14.6595,158.547,0.74977,-9.70172,173.203,0.911201,-9.43828
0.777982,7.60901,78.2012,0.347715,-7.0243,70.6033,0.400096,-6.6157
