radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.106878,0.587284,313.696,10.6404,-1.26003,314.255,10.7943,-1.16182
0.0735983,0.485273,312.924,10.7456,-1.3716,312.441,10.7479,-1.41664
0.0735983,0.439853,312.902,10.7457,-1.3737,312.464,10.7478,-1.41453
0.0725543,0.577457,0.577724,-0.0140837,0.0291516,1.14829,-0.00409183,-0.0592309
0.103887,0.96972,312.138,10.7385,-1.43692,311.176,10.6988,-1.54585
0.0656012,0.446658,310.572,10.7,-1.59733,310.127,10.7158,-1.63953
0.100795,2.18406,310.027,10.711,-1.67914,307.859,10.6822,-1.94463
0.152921,3.93557,304.205,10.8152,-2.17316,308.119,10.4795,-1.92608
0.152921,0.336477,305.995,10.6617,-2.06018,306.329,10.633,-2.03905
0.0990602,0.703043,2.16656,0.0161519,-0.160803,2.86286,0.0965275,-0.215432
0.114179,1.00964,306.775,10.5894,-2.01478,307.781,10.6395,-1.94607
0.0423225,0.492842,3.33281,0.0790344,-0.338394,3.82437,0.0515411,-0.36079
0.151508,1.16621,305.63,10.4846,-2.09099,304.494,10.7374,-2.02539
0.0948863,0.380314,303.967,10.6182,-2.28836,304.343,10.6004,-2.23555
0.10819,0.536561,1.53919,0.493462,6.75558,2.07077,0.421103,6.74684
0.0559349,0.527804,4.8179,0.0660215,-0.495199,4.29204,0.0876962,-0.455457
0.103785,0.593877,302.902,10.6835,-2.40197,303.49,10.6608,-2.32366
0.103785,0.394028,303.001,10.6796,-2.3888,303.391,10.6646,-2.33683
0.164768,0.659626,4.89013,0.0674903,-0.647474,5.54579,0.0924737,-0.715243
0.129701,0.69859,301.5,10.6675,-2.61927,302.193,10.5882,-2.58448
0.0785701,0.436351,3.79038,9.06161,-0.325718,4.22324,9.02779,-0.369205
0.10479,0.472608,300.699,10.6531,-2.51599,300.232,10.6194,-2.58057
0.103617,1.94627,299.935,10.5883,-2.72344,297.989,10.6268,-2.76037
0.0475033,1.22266,2.46838,0.49114,6.7415,3.68469,0.519552,6.62028
0.117563,0.445549,6.20293,0.141827,-0.585954,5.79241,-0.0217888,-0.642662
0.092847,3.72382,304.746,10.2106,5.4287,308.463,10.2376,5.63961
0.0618046,0.813542,298.335,10.629,-2.80553,297.534,10.6689,-2.94492
0.0869291,0.413438,6.45583,0.0590366,-0.741733,6.86757,0.030653,-0.766075
0.141772,0.589969,296.717,10.7215,-3.09592,297.295,10.7772,-2.98951
0.215703,2.09594,296.889,10.8581,-2.80607,294.964,10.2527,-3.37233
0.138741,0.668402,4.18574,0.473794,6.77318,4.78971,0.41916,6.49211
0.131648,0.462379,7.4298,-0.0188035,-0.626976,7.06911,0.237852,-0.760468
0.0787626,2.32407,303.656,10.2306,5.26062,301.338,10.3411,5.12744
0.0794354,1.03818,294.118,10.616,-3.14341,295.155,10.5969,-3.08858
0.0471534,0.309809,6.11525,9.08242,-0.586468,6.42355,9.0974,-0.613106
0.278697,1.06271,294.366,10.8063,-3.34652,293.334,10.6482,-3.54559
0.107018,1.47392,293.38,10.5925,-3.27699,291.915,10.6002,-3.43697
0.0697052,1.20637,6.10154,0.4487,6.37959,4.91584,0.516162,6.59151
0.0874291,0.61429,8.5657,0.144486,-0.908383,7.95689,0.0627241,-0.912115
0.101185,0.833289,291.093,10.596,-3.41684,291.924,10.567,-3.47485
0.0799331,0.416725,6.86192,9.09854,-0.65924,7.27455,9.06972,-0.709897
0.219506,0.619131,289.55,10.4429,-3.92415,289.154,10.6799,-3.51085
0.117529,0.988662,288.895,10.5868,-3.61087,287.974,10.3819,-3.90657
