radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.994615,37.3967,-7.11047,4.78297,56.1899,30.2548,3.26836,55.9541
0.994946,25.0495,29.7497,3.25349,56.3742,4.77157,5.07108,55.8608
0.959469,19.6004,30.778,4.47602,56.1011,11.2223,3.15281,56.1309
0.645126,28.675,22.1046,2.92318,43.8096,-6.557,3.79473,43.9234
0.860113,12.322,18.1527,3.21233,44.192,30.4146,4.40584,44.418
0.777401,25.6009,30.2747,3.98337,44.4306,4.69962,4.75602,45.2814
0.776926,30.0836,-3.18222,4.28479,32.7232,26.8963,3.74386,32.8298
0.282125,22.4205,16.2243,3.29122,57.1185,-6.19246,3.67384,56.9655
0.969453,32.6898,-1.904,4.79647,56.1023,30.7557,3.39951,55.9818
0.988377,35.353,18.528,4.10524,56.558,18.0056,3.10485,21.223
0.945815,39.8494,4.29643,5.32282,16.6758,6.02732,4.01655,56.4662
0.673704,15.8473,8.51113,5.78345,43.9043,24.0495,2.67646,43.6997
0.985374,33.2917,16.2146,5.05618,16.8043,18.3628,4.06229,50.0117
0.865926,9.81252,0.376064,5.69818,32.0859,10.0934,4.33479,32.0731
0.939405,21.8915,-2.25194,3.95481,33.2844,19.595,5.30509,33.6406
0.471477,5.59779,-0.948771,4.05982,43.762,-6.5341,4.29855,44.049
0.786905,25.7313,19.169,5.51508,43.8637,-6.5394,4.43625,43.7453
0.970052,36.6631,6.96225,3.36728,20.0735,5.67628,4.1107,56.7065
0.881642,9.26067,-2.33123,4.71325,55.733,6.81316,3.38593,56.348
0.918257,8.9878,17.0685,4.12721,54.4725,17.6884,4.21657,45.5065
0.86192,8.38794,16.882,5.37232,43.9177,25.2377,4.64204,43.8353
0.964548,22.9929,26.137,4.68642,33.2259,3.241,2.60939,33.5901
0.771461,10.9131,26.6814,4.01966,55.5425,15.771,4.24178,55.6415
0.947201,16.7522,4.2161,2.108,17.943,0.704997,1.14769,1.59104
0.945821,14.4597,14.3263,1.37898,8.51387,16.5889,3.04304,22.6981
0.722755,14.3323,6.6113,5.50052,21.9881,10.005,6.9858,8.14286
0.837016,7.80618,24.0092,4.98752,55.9756,16.2113,4.64136,56.0744
0.876036,25.0199,5.40654,3.11673,24.3913,0.41608,0.581492,0.0056572
0.873134,10.6674,16.2462,5.78453,23.017,14.5713,4.94932,12.515
0.987308,5.83591,5.65814,0.922797,6.77161,1.07649,4.53753,6.77339
0.922016,13.8542,2.72724,7.69447,2.88232,3.78339,6.39264,16.6347
0.955519,21.4549,15.0163,3.81066,43.9237,-6.42925,4.42503,43.7683
0.909776,8.13661,14.0361,6.22541,7.27325,22.1323,7.02619,7.39275
0.430363,11.6834,15.0361,5.47999,34.3627,3.35341,5.57581,34.4603
0.723871,11.0924,13.094,6.40494,7.78005,17.9385,5.82767,17.7419
0.698338,27.965,6.36657,2.39027,17.9055,4.28757,3.19084,45.7815
0.991322,21.9208,6.95639,5.38177,22.2662,6.69731,4.31961,44.1598
0.573633,17.3012,0.430466,6.19469,3.08601,3.70985,5.56787,20.062
0.849669,11.4719,12.7474,1.35598,2.57914,14.3885,1.92437,13.9189
0.971086,11.334,12.1586,5.06658,33.4377,23.4902,5.11287,33.2093
0.748107,21.2375,4.48287,2.98312,37.982,3.43873,2.63764,16.773
0.873937,19.3095,23.5594,0.0682273,0.0540247,20.095,2.81918,18.85
0.578833,20.0502,21.2897,7.06943,8.52993,18.8057,5.28035,28.3451
0.790371,12.9552,13.6012,7.43091,1.71531,14.8207,6.43806,14.5747
