radius,length,start_x,start_y,start_z,end_x,end_y,end_z
0.182465,0.793003,6.19471,1.61634,13.2944,6.89825,1.64463,13.6592
0.304999,0.968308,-0.442887,0.394411,0.352434,0.388685,-0.0862903,0.229815
0.232967,1.36663,9.52016,5.31294,11.9809,9.22449,4.98671,13.2747
0.526216,1.09964,8.10042,5.71314,17.4451,7.55471,5.86949,18.3869
0.1116,1.1435,9.21412,5.11452,13.3906,9.21498,6.25791,13.3741
0.310666,1.0535,7.29656,1.77514,13.8619,6.3521,2.06364,14.2288
0.368199,1.09109,0.638345,0.010045,0.693241,0.0960309,0.605566,1.42926
0.374229,1.09203,7.48491,1.46621,12.8907,7.0871,1.39397,11.8763
0.288559,0.871923,7.62969,1.1309,9.41915,8.47661,1.17724,9.21708
0.159404,1.03104,1.10891,0.399737,1.3148,1.77175,0.511895,2.09653
0.367055,1.27801,0.44863,1.03334,2.20913,0.607923,0.512982,1.05277
0.241215,0.806084,11.7778,0.23656,0.493979,11.4385,0.0963376,-0.223626
0.516329,1.01463,8.5505,0.703878,8.6525,8.52558,0.553182,7.64943
0.292778,1.11259,10.6164,0.0815283,0.905614,11.4929,0.505008,1.44447
0.331341,1.2256,1.35665,0.279138,2.83928,2.4655,0.488706,2.36113
0.253268,1.36608,13.2913,0.339485,1.37515,12.0147,0.553187,0.938248
0.371237,1.24814,10.5891,0.384254,1.19154,10.2972,0.49888,2.39964
0.227938,1.18831,2.7076,0.70886,3.60599,1.88896,0.653066,2.74645
0.385259,1.56404,0.690028,1.16378,3.63138,0.330764,0.865355,2.1387
0.145011,0.976335,0.255906,1.65998,2.46678,0.168158,1.0346,1.72218
0.509612,0.986761,4.63456,5.87861,25.0688,4.19272,5.20633,25.6402
0.613269,1.99592,13.1525,0.171153,3.19357,13.1138,0.175769,1.19803
0.389211,1.09587,11.7993,1.1874,1.81353,11.6483,0.310126,1.17436
0.340083,0.919921,11.0883,0.734571,2.22825,10.5066,0.679943,2.93886
0.321577,1.37386,9.54409,0.570974,1.9795,9.42316,0.677382,3.34388
0.29285,1.16528,2.50003,0.429401,3.74654,3.60303,0.576326,4.09252
0.383726,1.20149,1.71914,0.505302,4.79802,1.82327,0.420515,3.60405
0.313891,1.7343,1.43392,0.676295,5.11885,0.700659,1.00543,3.58203
0.183309,0.69008,6.01454,5.74689,20.1234,6.70351,5.72527,20.091
0.374247,1.39444,23.5648,0.346153,-0.0134513,22.8788,0.526618,1.18711
0.449911,1.4647,12.5747,0.813076,2.24002,13.0426,0.742326,3.62615
0.597244,1.1286,9.3359,0.062546,4.40027,10.0348,-0.0505083,3.52132
0.534257,2.06497,9.77883,0.498245,4.03474,7.72736,0.582808,4.25475
0.0879582,1.35542,4.39231,0.789477,5.20576,3.48924,0.783193,4.19503
0.344975,1.29523,0.866268,1.00425,4.77559,1.89444,0.941334,5.56079
0.154644,0.926484,14.9328,0.591679,3.3565,14.1788,0.501425,2.82576
0.255498,1.69741,13.6077,0.471065,2.337,14.2257,0.570834,3.91479
0.658592,1.61187,11.5754,0.496753,1.85145,11.8592,1.50588,3.07587
0.271963,0.718989,10.4812,0.685362,3.87709,10.6367,0.901025,4.54512
0.211472,1.65242,9.0332,0.674423,5.08562,7.6792,0.654922,4.13862
0.178992,0.94534,4.48168,0.836774,5.03874,4.80115,0.881386,5.92734
0.732699,2.29671,1.16522,1.50876,5.93678,3.3779,0.917129,6.10673
0.454811,2.26191,0.901582,1.1796,4.85038,1.62938,1.45705,6.97396
0.328866,1.52309,0.63446,2.14677,4.75931,0.486173,1.30486,3.49876
0.4087,1.30139,0.292378,2.53673,2.95268,0.616549,1.3324,3.32431
0.348446,1.31261,22.6887,0.392044,2.28777,23.3699,0.558561,1.17819
0.34034,1.33974,21.7026,0.3732,1.74903,21.9458,0.473479,3.06268
0.200438,1.27588,14.5251,0.42355,3.83903,15.7031,0.58966,4.30017
0.27367,1.08259,13.663,0.587755,3.87767,13.6395,0.728529,4.95081
0.359603,1.0708,12.8153,0.848591,3.81495,13.0535,0.970758,4.85176
0.976876,1.3749,9.8116,1.54218,4.2999,10.0303,1.71466,5.64628
0.526198,1.64437,10.3806,0.654512,5.157,9.15864,0.663326,6.25731
0.464817,1.42429,6.25644,1.20582,5.53984,7.66641,1.03768,5.42887
0.248968,0.929346,1.01945,1.08802,6.74947,1.85905,0.717775,6.89671
0.393302,1.01648,22.792,0.56875,2.32085,22.4706,0.636181,3.28282
0.405829,1.15413,21.4013,0.578994,3.62588,20.9879,0.462844,2.55461
0.454118,1.3607,21.016,0.135146,4.29461,19.8312,0.131017,3.62553
0.933533,2.21368,14.3563,0.974556,4.04719,15.6443,1.13927,5.84001
0.538467,1.91407,12.014,2.21268,3.31777,10.9044,0.921975,2.44224
0.359034,1.43234,10.6041,1.14463,4.40338,10.3547,1.27615,5.80768
0.264992,0.95975,5.67292,0.793063,6.47261,6.52865,0.872523,6.89985
0.2555,0.933502,5.49013,1.25608,6.99374,5.20195,0.6616,6.33421
0.334733,0.782903,4.25098,0.917467,6.48379,4.98975,1.17574,6.50526
0.181841,0.966941,4.25828,1.24295,6.76555,3.44382,0.72781,6.84478
0.443445,1.16906,3.43083,0.666944,7.02796,2.34374,0.827938,7.42672
0.34181,1.09014,2.69467,1.34076,7.12257,1.61641,1.2566,6.98599
0.547409,1.19145,0.0994505,3.06527,4.06035,0.32435,1.98142,4.5011
0.517291,1.13849,22.2857,0.728001,3.26209,22.1457,0.97635,4.3643
0.551806,1.36233,13.5935,0.97311,4.79845,13.3509,1.2562,6.10877
0.420335,0.969191,10.1124,0.875297,6.10767,9.99415,1.41349,6.90498
0.202859,2.17228,9.97277,1.1299,7.18395,7.92883,0.772988,6.54076
0.0890289,0.867055,7.20884,0.932333,6.73797,8.07584,0.936065,6.74652
0.397117,0.967444,6.20016,1.26695,7.00306,7.16283,1.34316,6.94463
0.248173,0.82577,4.82877,1.46043,7.00979,5.59066,1.14203,7.01627
0.414381,1.31675,2.06814,1.1366,7.01356,1.15166,2.05406,6.78518
0.422554,1.15234,1.52843,1.49159,7.53254,1.8588,1.38274,8.63113
0.314856,1.77172,23.4595,1.02772,1.63641,23.1388,1.37136,3.34464
